B,dBf,dBs,h0f,h0s,p0s,year,row,Qs,Qf,gs,gf,p0f,c0rs,crs,rmT,rmN,ef,es,l,PHIff,PHIfrT,PHIfs,PHIsf,PHIsrT,PHIss,PHIsrN,PHIfrN
910,75.4,75.4,45.3,42.7,67000,1985,46,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1986,47,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1987,48,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1988,49,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1989,50,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1990,51,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1991,52,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1992,53,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1993,54,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1994,55,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1995,56,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1996,57,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1997,58,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1998,59,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,1999,60,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
910,75.4,75.4,45.3,42.7,67000,2000,61,18.9,4,1,1,67000,10000000,20000,8.2,8.117999999999999,300,300,0.5,68.07678083819633,55.90836667492597,50.0042525160041,50.00425251600299,78.16663220330044,68.0347174822273,78.16663220330044,55.90836667492597
